date,exercise,sets,reps,weight,unit
2014-11-08T16:00:00Z,low bar squats,1,1,112.50,kg
2014-11-08T16:00:00Z,low bar squats,1,1,117.50,kg
2014-11-08T16:00:00Z,low bar squats,1,1,125.00,kg
2015-02-28T10:00:00Z,low bar squats,3,3,225.00,lbs
2015-03-03T16:30:00Z,high bar squats,5,5,215.00,lbs
2015-03-05T17:30:00Z,front squats,5,5,155.00,lbs
2015-03-07T11:00:00Z,low bar squats,3,3,240.00,lbs
2015-03-10T17:00:00Z,high bar squats,4,5,215.00,lbs
2015-03-12T16:30:00Z,front squats,5,5,160.00,lbs
2015-03-14T10:00:00Z,low bar squats,5,3,245.00,lbs
2015-03-14T10:00:00Z,low bar squats,3,8,155.00,lbs
2015-03-17T15:30:00Z,high bar squats,1,5,220.00,lbs
2015-03-17T15:30:00Z,high bar squats,3,5,205.00,lbs
2015-03-19T17:00:00Z,front squats,6,5,145.00,lbs
2015-03-21T10:00:00Z,low bar squats,4,3,250.00,lbs
2015-03-21T10:00:00Z,low bar squats,4,8,185.00,lbs
2015-03-24T18:00:00Z,high bar squats,8,5,205.00,lbs
2015-03-28T10:00:00Z,low bar squats,5,3,255.00,lbs
2015-03-28T10:00:00Z,low bar squats,3,8,185.00,lbs
2015-03-31T18:30:00Z,high bar squats,3,5,215.00,lbs
2015-03-31T18:30:00Z,high bar squats,3,8,185.00,lbs
2015-04-02T19:30:00Z,front squats,5,5,155.00,lbs
2015-04-04T10:30:00Z,low bar squats,6,3,260.00,lbs
2015-04-04T10:30:00Z,low bar squats,3,8,185.00,lbs
2015-04-07T18:00:00Z,high bar squats,5,5,215.00,lbs
2015-04-09T18:30:00Z,front squats,5,5,155.00,lbs
2015-04-11T10:30:00Z,low bar squats,5,5,245.00,lbs
2015-04-11T10:30:00Z,low bar squats,3,8,185.00,lbs
2015-04-14T18:00:00Z,high bar squats,5,5,220.00,lbs
2015-04-16T18:00:00Z,front squats,4,5,160.00,lbs
2015-04-18T10:00:00Z,low bar squats,5,5,250.00,lbs
2015-04-21T18:00:00Z,high bar squats,3,5,225.00,lbs
2015-04-21T18:00:00Z,high bar squats,2,5,205.00,lbs
2015-04-23T18:00:00Z,low bar squats,1,3,245.00,lbs
2015-04-23T18:00:00Z,low bar squats,5,5,225.00,lbs
2015-04-28T18:00:00Z,belted low bar squats,5,5,245.00,lbs
2015-04-30T18:00:00Z,paused front squats,5,5,145.00,lbs
2015-05-02T10:00:00Z,belted low bar squats,3,5,265.00,lbs
2015-05-02T10:00:00Z,low bar squats,4,10,185.00,lbs
2015-05-05T18:00:00Z,high bar squats,3,8,205.00,lbs
2015-05-05T18:00:00Z,belted low bar squats,3,5,225.00,lbs
2015-05-07T18:00:00Z,front squats,3,5,165.00,lbs
2015-05-09T10:30:00Z,belted low bar squats,5,5,265.00,lbs
2015-05-12T17:30:00Z,low bar squats,5,5,235.00,lbs
2015-05-14T17:30:00Z,front squats,5,8,140.00,lbs
2015-05-16T10:30:00Z,belted low bar squats,5,3,270.00,lbs
2015-05-16T10:30:00Z,low bar squats,5,8,185.00,lbs
2015-05-19T06:00:00Z,low bar squats,5,5,235.00,lbs
2015-05-23T09:30:00Z,low bar squats,5,1,275.00,lbs
2015-05-23T09:30:00Z,low bar squats,3,12,185.00,lbs
2015-05-26T17:30:00Z,low bar squats,1,3,245.00,lbs
2015-05-26T17:30:00Z,low bar squats,1,3,235.00,lbs
2015-05-26T17:30:00Z,low bar squats,3,5,225.00,lbs
2015-05-30T09:30:00Z,belted low bar squats,2,3,270.00,lbs
2015-05-30T09:30:00Z,belted low bar squats,4,5,255.00,lbs
2015-05-30T09:30:00Z,low bar squats,3,8,195.00,lbs
2015-06-02T17:30:00Z,low bar squats,1,3,245.00,lbs
2015-06-02T17:30:00Z,low bar squats,5,5,225.00,lbs
2015-06-05T17:30:00Z,front squats,3,3,155.00,lbs
2015-06-06T09:30:00Z,belted low bar squats,6,3,265.00,lbs
2015-06-06T09:30:00Z,low bar squats,4,8,195.00,lbs
2015-06-09T17:30:00Z,low bar squats,4,3,245.00,lbs
2015-06-09T17:30:00Z,low bar squats,3,5,225.00,lbs
2015-06-11T17:30:00Z,front squats,5,5,145.00,lbs
2015-06-13T10:30:00Z,belted low bar squats,5,5,265.00,lbs
2015-06-16T17:30:00Z,low bar squats,5,5,245.00,lbs
2015-06-18T18:30:00Z,front squats,5,5,155.00,lbs
2015-06-20T09:00:00Z,belted low bar squats,7,3,270.00,lbs
2015-06-20T09:00:00Z,low bar squats,3,8,205.00,lbs
2015-06-23T17:30:00Z,low bar squats,3,5,250.00,lbs
2015-06-25T18:30:00Z,front squats,5,5,160.00,lbs
2015-06-27T10:30:00Z,belted low bar squats,7,3,275.00,lbs
2015-06-27T10:30:00Z,low bar squats,3,8,205.00,lbs
2015-06-30T17:30:00Z,low bar squats,3,3,245.00,lbs
2015-07-02T19:30:00Z,front squats,5,5,155.00,lbs
2015-07-04T10:30:00Z,belted low bar squats,3,3,280.00,lbs
2015-07-09T12:00:00Z,low bar squats,5,5,225.00,lbs
2015-07-14T18:30:00Z,low bar squats,1,3,245.00,lbs
2015-07-14T18:30:00Z,low bar squats,5,5,225.00,lbs
2015-07-14T18:30:00Z,paused front squats,5,5,135.00,lbs
