date,exercise,sets,reps,weight,unit
2014-11-08T16:00:00Z,low bar squats,1,1,112.50,kg
2014-11-08T16:00:00Z,low bar squats,1,1,117.50,kg
2014-11-08T16:00:00Z,low bar squats,1,1,125.00,kg
2015-02-28T10:00:00Z,low bar squats,3,3,225.00,lbs
2015-03-07T11:00:00Z,low bar squats,3,3,240.00,lbs
2015-03-14T10:00:00Z,low bar squats,5,3,245.00,lbs
2015-03-14T10:00:00Z,low bar squats,3,8,155.00,lbs
2015-03-21T10:00:00Z,low bar squats,4,3,250.00,lbs
2015-03-21T10:00:00Z,low bar squats,4,8,185.00,lbs
2015-03-28T10:00:00Z,low bar squats,5,3,255.00,lbs
2015-03-28T10:00:00Z,low bar squats,3,8,185.00,lbs
2015-04-04T10:30:00Z,low bar squats,6,3,260.00,lbs
2015-04-04T10:30:00Z,low bar squats,3,8,185.00,lbs
2015-04-11T10:30:00Z,low bar squats,5,5,245.00,lbs
2015-04-11T10:30:00Z,low bar squats,3,8,185.00,lbs
2015-04-18T10:00:00Z,low bar squats,5,5,250.00,lbs
2015-04-23T18:00:00Z,low bar squats,1,3,245.00,lbs
2015-04-23T18:00:00Z,low bar squats,5,5,225.00,lbs
2015-04-28T18:00:00Z,belted low bar squats,5,5,245.00,lbs
2015-05-02T10:00:00Z,belted low bar squats,3,5,265.00,lbs
2015-05-02T10:00:00Z,low bar squats,4,10,185.00,lbs
2015-05-05T18:00:00Z,belted low bar squats,3,5,225.00,lbs
2015-05-09T10:30:00Z,belted low bar squats,5,5,265.00,lbs
2015-05-12T17:30:00Z,low bar squats,5,5,235.00,lbs
2015-05-16T10:30:00Z,belted low bar squats,5,3,270.00,lbs
2015-05-16T10:30:00Z,low bar squats,5,8,185.00,lbs
2015-05-19T06:00:00Z,low bar squats,5,5,235.00,lbs
2015-05-23T09:30:00Z,low bar squats,5,1,275.00,lbs
2015-05-23T09:30:00Z,low bar squats,3,12,185.00,lbs
2015-05-26T17:30:00Z,low bar squats,1,3,245.00,lbs
2015-05-26T17:30:00Z,low bar squats,1,3,235.00,lbs
2015-05-26T17:30:00Z,low bar squats,3,5,225.00,lbs
2015-05-30T09:30:00Z,belted low bar squats,2,3,270.00,lbs
2015-05-30T09:30:00Z,belted low bar squats,4,5,255.00,lbs
2015-05-30T09:30:00Z,low bar squats,3,8,195.00,lbs
